Domain	Phylum	Class	Order	Family	Genus	Species
meta_mOTU_v2_7266	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	unknown Clostridium
meta_mOTU_v2_6218	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:343
meta_mOTU_v2_7301	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	unknown Clostridium
meta_mOTU_v2_6156	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	unknown Clostridium
meta_mOTU_v2_7468	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	unknown Clostridium
meta_mOTU_v2_6363	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	unknown Clostridium
meta_mOTU_v2_5718	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. 27_14
meta_mOTU_v2_5389	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:440
meta_mOTU_v2_7389	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	unknown Clostridium
meta_mOTU_v2_5353	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	unknown Clostridium
meta_mOTU_v2_7721	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	unknown Clostridium
meta_mOTU_v2_6816	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	unknown Clostridium
meta_mOTU_v2_7250	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	unknown Clostridium
meta_mOTU_v2_6301	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	unknown Clostridium
meta_mOTU_v2_6039	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	unknown Clostridium
meta_mOTU_v2_5505	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	unknown Clostridium
meta_mOTU_v2_6349	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	unknown Clostridium
meta_mOTU_v2_5751	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	unknown Clostridium
meta_mOTU_v2_6311	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	unknown Clostridium
